choice1,choice2,choice3,choice4,correction
Playful,Comforting,Irritated,Bored,Playful
Terrified,Upset,Arrogant,Annoyed,Upset
Joking,Flustered,Desire,Convinced,Desire
Joking,Insisting,Amused,Relaxed,Insisting
Irritated,Sarcastic,Worried,Friendly,Worried
Aghast,Fantasizing,Impatient,Alarmed,Fantasizing
Apologetic,Friendly,Uneasy,Dispirited,Uneasy
Despondent,Relieved,Shy,Excited,Despondent
Annoyed,Hostile,Horrified,Preoccupied,Preoccupied
Cautious,Insisting,Bored,Aghast,Cautious
Terrified,Amused,Regretful,Flirtatious,Regretful
Indifferent,Embarrassed,Skeptical,Dispirited,Skeptical
Decisive,Anticipating,Threatening,Shy,Anticipating
Irritated,Disappointed,Depressed,Accusing,Accusing
Contemplative,Flustered,Encouraging,Amused,Contemplative
Irritated,Thoughtful,Encouraging,Sympathetic,Thoughtful
Doubtful,Affectionate,Playful,Aghast,Doubtful
Decisive,Amused,Aghast,Bored,Decisive
Arrogant,Grateful,Sarcastic,Tentative,Tentative
Dominant,Friendly,Guilty,Horrified,Friendly
Embarrassed,Fantasizing,Confused,Panicked,Fantasizing
Preoccupied,Grateful,Insisting,Imploring,Preoccupied
Contented,Apologetic,Defiant,Curious,Defiant
Pensive,Irritated,Excited,Hostile,Pensive
Panicked,Incredulous,Despondent,Interested,Interested
Alarmed,Shy,Hostile,Anxious,Hostile
Joking,Cautious,Arrogant,Reassuring,Cautious
Interested,Joking,Affectionate,Contented,Interested
Impatient,Aghast,Irritated,Reflective,Reflective
Grateful,Flirtatious,Hostile,Disappointed,Flirtatious
Ashamed,Confident,Joking,Dispirited,Confident
Serious,Ashamed,Bewildered,Alarmed,Serious
Embarrassed,Guilty,Fantasizing,Concerned,Concerned
Aghast,Baffled,Distrustful,Terrified,Distrustful
Puzzled,Nervous,Insisting,Contemplative,Nervous
Ashamed,Nervous,Suspicious,Indecisive,Suspicious
